Number of Spheres: 1964
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -3.06869, variance 0
Mean coordination No. 12.8267
0.989114 0.414369 0.349998 0.0464818
0.562946 0.585511 0.0379217 0.0464818
0.812915 0.00149143 0.337948 0.0464818
0.877892 0.249103 0.594043 0.0464818
0.790427 0.733835 0.3949 0.0464818
0.507715 0.0205681 0.327361 0.0464818
0.802753 0.545533 0.0204164 0.0464818
0.471737 0.0761048 0.796189 0.0464818
0.142662 0.00740817 0.866356 0.0464818
0.928487 0.324948 0.0312147 0.0464818
0.284581 0.408858 0.573094 0.0464818
0.184095 0.758672 0.650232 0.0464818
0.731368 0.3369 0.143866 0.0464818
0.769983 0.718007 0.221424 0.0464818
0.230094 0.471222 0.530855 0.0464818
0.571217 0.494785 0.0194109 0.0464818
0.841684 0.739744 0.16639 0.0464818
0.43215 0.774976 0.187421 0.0464818
0.900179 0.215685 0.896786 0.0464818
0.264497 0.986828 0.212952 0.0464818
0.484836 0.00331815 0.881202 0.0464818
0.282928 0.783636 0.782858 0.0464818
0.418189 0.677425 0.909044 0.0464818
0.399623 0.809239 0.69802 0.0464818
0.0192156 0.878696 0.186142 0.0464818
0.194295 0.303719 0.915977 0.0464818
0.498621 0.391505 0.721977 0.0464818
0.84926 0.282939 0.834748 0.0464818
0.271346 0.857562 0.495766 0.0464818
0.511092 0.792565 0.311128 0.0464818
0.232877 0.506148 0.193393 0.0464818
0.931353 0.588994 0.566652 0.0464818
0.488027 0.611422 0.36715 0.0464818
0.497407 0.820077 0.962798 0.0464818
0.696649 0.276456 0.451356 0.0464818
0.0298807 0.310514 0.133042 0.0464818
0.31679 0.520822 0.414902 0.0464818
0.172402 0.555393 0.142796 0.0464818
0.550219 0.468834 0.721791 0.0464818
0.188355 0.943227 0.810323 0.0464818
0.740311 0.0349435 0.385401 0.0464818
0.0889435 0.913173 0.0359174 0.0464818
0.281788 0.549604 0.525986 0.0464818
0.32594 0.212682 0.247715 0.0464818
0.780266 0.350723 0.499114 0.0464818
0.96831 0.724235 0.887909 0.0464818
0.260477 0.560407 0.990213 0.0464818
0.460341 0.412137 0.0249716 0.0464818
0.812499 0.357849 0.734798 0.0464818
0.251476 0.187232 0.509372 0.0464818
0.635408 0.427598 0.0221456 0.0464818
0.694859 0.612382 0.24821 0.0464818
0.505874 0.098485 0.276688 0.0464818
0.388871 0.64398 0.621357 0.0464818
0.604433 0.450709 0.53783 0.0464818
0.97689 0.649868 0.142282 0.0464818
0.848337 0.164893 0.731839 0.0464818
0.706157 0.586836 0.350057 0.0464818
0.562938 0.90076 0.114462 0.0464818
0.130841 0.829668 0.677906 0.0464818
0.999259 0.801774 0.336418 0.0464818
0.0447347 0.341765 0.846808 0.0464818
0.113699 0.206871 0.0286935 0.0464818
0.146764 0.699733 0.040998 0.0464818
0.320851 0.545771 0.32544 0.0464818
0.120774 0.773412 0.445014 0.0464818
0.207876 0.200832 0.594777 0.0464818
0.154021 0.419912 0.551297 0.0464818
0.460426 0.200585 0.692655 0.0464818
0.431126 0.662152 0.420356 0.0464818
0.389037 0.566797 0.262054 0.0464818
0.88036 0.210749 0.485807 0.0464818
0.807328 0.71966 0.975843 0.0464818
0.322618 0.355032 0.143894 0.0464818
0.203904 0.110623 0.572667 0.0464818
0.960561 0.224001 0.82658 0.0464818
0.027861 0.0894266 0.940886 0.0464818
0.540185 0.403931 0.326303 0.0464818
0.0675231 0.390047 0.567682 0.0464818
0.12715 0.282803 0.976773 0.0464818
0.199288 0.63526 0.436985 0.0464818
0.275995 0.903532 0.173307 0.0464818
0.0537234 0.937237 0.430954 0.0464818
0.717556 0.992223 0.560622 0.0464818
0.729224 0.683468 0.072506 0.0464818
0.357321 0.175456 0.165918 0.0464818
0.374509 0.333234 0.91026 0.0464818
0.0353391 0.862828 0.276311 0.0464818
0.5215 0.840431 0.608989 0.0464818
0.742204 0.41069 0.350089 0.0464818
0.678768 0.700066 0.221849 0.0464818
0.880561 0.952245 0.286065 0.0464818
0.426877 0.949827 0.718543 0.0464818
0.302769 0.634517 0.114643 0.0464818
0.0713834 0.908973 0.59574 0.0464818
0.725756 0.614587 0.510669 0.0464818
0.244482 0.871391 0.0919673 0.0464818
0.302271 0.235448 0.683873 0.0464818
0.667675 0.532272 0.675504 0.0464818
0.866986 0.382236 0.894511 0.0464818
0.340137 0.839013 0.939032 0.0464818
0.0430763 0.954662 0.138162 0.0464818
0.753593 0.292605 0.0652131 0.0464818
0.891077 0.457638 0.94326 0.0464818
0.880151 0.133359 0.362637 0.0464818
0.848723 0.9038 0.520046 0.0464818
0.250775 0.993522 0.583163 0.0464818
0.491443 0.673635 0.101145 0.0464818
0.0564039 0.458054 0.505283 0.0464818
0.565456 0.733737 0.358308 0.0464818
0.222552 0.81833 0.0186951 0.0464818
0.467878 0.711596 0.489976 0.0464818
0.876691 0.0449003 0.143745 0.0464818
0.0831237 0.223566 0.478114 0.0464818
0.243455 0.937388 0.0265024 0.0464818
0.0118525 0.36376 0.0175725 0.0464818
0.783617 0.116622 0.395173 0.0464818
0.00428799 0.761801 0.634653 0.0464818
0.164761 0.318164 0.0540852 0.0464818
0.0922454 0.698137 0.946266 0.0464818
0.908403 0.185891 0.139198 0.0464818
0.655086 0.0489011 0.175767 0.0464818
0.968923 0.0786691 0.211508 0.0464818
0.876485 0.86514 0.253843 0.0464818
0.152341 0.570331 0.389841 0.0464818
0.355303 0.741019 0.74301 0.0464818
0.271103 0.318278 0.71528 0.0464818
0.0876672 0.304334 0.2056 0.0464818
0.980761 0.471504 0.963429 0.0464818
0.936237 0.666702 0.454522 0.0464818
0.610528 0.645408 0.576833 0.0464818
0.381929 0.217585 0.989358 0.0464818
0.117799 0.0775147 0.168807 0.0464818
0.779525 0.946 0.076029 0.0464818
0.674202 0.994269 0.333788 0.0464818
0.78756 0.459304 0.637082 0.0464818
0.582384 0.714427 0.965425 0.0464818
0.382242 0.702826 0.990928 0.0464818
0.720495 0.523149 0.526597 0.0464818
0.245278 0.0728178 0.242594 0.0464818
0.597484 0.112621 0.87294 0.0464818
0.974704 0.632686 0.902745 0.0464818
0.674016 0.253162 0.0377538 0.0464818
0.508324 0.459334 0.960845 0.0464818
0.415599 0.870659 0.765951 0.0464818
0.0427541 0.377015 0.275409 0.0464818
0.541232 0.310282 0.361359 0.0464818
0.0266618 0.236221 0.188831 0.0464818
0.697843 0.28444 0.70468 0.0464818
0.506024 0.0974968 0.879909 0.0464818
0.787242 0.161205 0.153178 0.0464818
0.928894 0.0435694 0.43549 0.0464818
0.352255 0.85495 0.346973 0.0464818
0.857117 0.563913 0.222899 0.0464818
0.180443 0.874495 0.505364 0.0464818
0.20551 0.681185 0.256718 0.0464818
0.0611569 0.689216 0.771065 0.0464818
0.625414 0.449614 0.670619 0.0464818
0.858406 0.38256 0.987285 0.0464818
0.895326 0.340348 0.590479 0.0464818
0.379232 0.406619 0.518634 0.0464818
0.0349553 0.185001 0.408582 0.0464818
0.719894 0.489764 0.912851 0.0464818
0.00777449 0.635029 0.615938 0.0464818
0.663532 0.571974 0.9014 0.0464818
0.418236 0.475139 0.940554 0.0464818
0.316447 0.929762 0.0835654 0.0464818
0.418145 0.499196 0.850758 0.0464818
0.209659 0.726921 0.775286 0.0464818
